ActorID,Name,BaseAttack,ProjectileAttack,ElementPower,WeaponDurability,MineruDurability,CanFuseToArrow,ArrowMultiplier,CanCut,AddsShieldAttack,ReplaceProperties,Property1,Property2,Property3,NamingRule,Adjective,BindTypeSword,BindTypeSpear,IconURL,SortOrder
None,None,0,0,0,0,0,1,1,0,0,0,-,-,-,-,-,-,-,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Items/Obj_OneTouchBond.png,000
Item_Enemy_137,Stone Talus Heart,13,0,0,0,10,0,1,0,1,1,Shatter Rock,-,-,-,Stone Talus,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_137.png,001
Item_Enemy_138,Luminous Stone Talus Heart,21,0,0,0,10,0,1,0,1,1,Shatter Rock,-,-,-,Luminous Stone Talus,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_138.png,002
Item_Enemy_139,Rare Stone Talus Heart,33,0,0,0,10,0,1,0,1,1,Shatter Rock,-,-,-,Rare Stone Talus,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_139.png,003
Item_Enemy_140,Igneo Talus Heart,27,0,0,0,10,0,1,0,1,1,Shatter Rock,Fire,-,-,Igneo Talus,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_140.png,004
Item_Enemy_141,Frost Talus Heart,27,0,0,0,10,0,1,0,1,1,Shatter Rock,Ice,-,-,Frost Talus,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_141.png,005
Item_Enemy_225,Flux Construct I Core,10,0,0,0,10,0,1,0,1,1,Shatter Rock,Zonai Fuse,-,UnlikeHammer,Flux Core I,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_225.png,006
Item_Enemy_226,Flux Construct II Core,20,0,0,0,10,0,1,0,1,1,Shatter Rock,Zonai Fuse,-,UnlikeHammer,Flux Core II,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_226.png,007
Item_Enemy_227,Flux Construct III Core,32,0,0,0,10,0,1,0,1,1,Shatter Rock,Zonai Fuse,-,UnlikeHammer,Flux Core III,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_227.png,008
Item_Enemy_220,Colgera Jaw,36,0,0,0,10,0,1,1,1,1,-,-,-,-,Colgera,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_220.png,009
Item_Enemy_221,Marbled Gohma Leg,38,0,0,0,10,0,1,0,1,1,Shatter Rock,-,-,-,Marbled Gohma,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_221.png,010
Item_Enemy_223,Queen Gibdo Wing,40,0,0,0,10,0,1,0,0,1,-,-,-,Fan,Queen Gibdo,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Objects/Item_Enemy_223.png,011
Item_Fruit_P,Golden Apple,1,0,0,0,5,1,1,0,0,0,-,-,-,-,Apple,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Items/Item_Fruit_P.png,012
Item_Fruit_G,Palm Fruit,1,0,0,0,5,1,1,0,0,1,-,-,-,-,Palm-Fruit,Attach,Attach,https://raw.githubusercontent.com/TOTKSheet/TOTKImages/main/Items/Item_Fruit_G.png,013
